sample_name,directionRecognizer,handsDownRecognizer,headDownRecognizer,kneesDownRecognizer,pelvisBelowKneesRecognizer,pelvisDownRecognizer,spanRecognizer,trunkAngleRecognizer,expected
Fall/sample_00001,29.72638698894234,73.91235028209546,110.94670294414503,46.04792875721753,50.245804848517395,51.94962268304105,206.48487203664362,54.436621835931014,1
Fall/sample_00002,-67.14135022449766,90.15043391154481,-5.652249347671098,9.489553167227132,-64.38948156616158,126.11896407123339,315.86428867913554,81.73906474938507,1
Fall/sample_00003,-84.07923332945197,77.56731603802186,21.155039432602894,13.78509184311913,6.135945260550565,89.91001699801299,407.2788955355728,89.0534831548038,1
Fall/sample_00004,41.042135421850894,66.01519829505216,106.7844863952865,24.439044028830654,44.41682342026818,66.02111156854782,183.09698648424907,41.47956296365606,1
Fall/sample_00005,-70.72731151936703,106.28886420209633,12.479796440167677,77.24937964607919,-54.24019897492891,86.02510866774973,256.4684098605668,98.16792202432266,1
Fall/sample_00006,87.65267325817533,107.96995616067338,6.6466010195852885,-24.38500818830445,33.59052023381983,96.56038005744901,962.9850790577557,86.4083474727166,1
Fall/sample_00007,-81.86499934643267,91.85153705067283,5.664232684860473,75.61611830333837,-59.5431925296152,89.51389056189464,377.50527327673825,97.6376708583107,1
Fall/sample_00008,42.31146124020551,98.76592861278766,53.18128765088536,10.809267256690386,25.692875437960698,82.06831105871379,485.8082826743373,72.00726351141846,1
Fall/sample_00009,-61.22951757848405,75.01569336754507,42.692331306409024,87.85292807833882,-51.06964895517878,78.85142801581418,361.5017201604898,88.12382013188308,1
Fall/sample_00010,55.65471049413649,87.58829562703008,74.15393622300597,-23.1109847217271,108.09443116908474,60.443937897454425,226.3544435803456,65.87991783411722,1
Fall/sample_00011,67.49495391931656,107.03063029658796,71.09832680742812,12.178039397817612,60.2615826641668,64.72533725813418,237.3518733553871,69.00092895871938,1
Fall/sample_00012,-28.774442914310388,98.1400292467563,20.772946242423256,4.377009113168582,16.732070088740603,89.63337628172462,385.8521370454147,91.52540074663487,1
Fall/sample_00013,55.92114147318601,96.52459314019909,95.37183739764812,16.43977913192763,56.52474342037522,64.33950929231517,163.40541997709812,49.15525932287592,1
Fall/sample_00014,51.177740518209085,96.19558545399413,99.93798425238086,9.345067540693298,38.808877675319444,76.52847603753003,161.1220396658739,14.227057678214946,1
Fall/sample_00015,68.48346996749301,118.66132980711797,38.524859937368134,-48.57439472144312,88.48321879381217,82.33549742060924,310.0720192119839,80.63609037888719,1
Fall/sample_00016,19.53378462928102,108.21205743277665,-1.345174725023983,14.466314221071263,91.46016939478262,48.3176779532274,247.11310950430953,129.20871974266487,1
Fall/sample_00017,65.42973030769349,111.54095061897033,0.0949108618980455,-14.397339309292606,44.26113048103415,86.14477063161563,364.5155172689786,97.86641369188938,1
